Euphorbia pseudovirgata
Euphorbia heterophylla
Euphorbia prunifolia
Euphorbia myrsinites
Euphorbia oblongata
Euphorbia serrata
Euphorbia terracina
Euryops multifidus
Euryops subcarnosus
Fatoua villosa
Festuca filiformis
Frangula alnus
Rhamnus frangula
Froelichia gracilis
Galega officinalis
Galeopsis tetrahit
Galinsoga parviflora
Gaura coccinea
Gaura drummondii
Gaura sinuata
Genista monspessulana
Cytisus monspessulanus
Geranium robertianum
Glaucium flavum
Glechoma hederacea
Glossostigma cleistanthum
Glossostigma diandrum
Glyceria maxima
Grevillea banksii
Gypsophila paniculata
Halimodendron halodendron
Halogeton glomeratus
Harrisia martinii
Eriocereus martinii
Hedera helix
Hedera hibernica
Helianthus annuus
Helianthus ciliaris
Heracleum mantegazzianum
Hesperis matronalis
Heteropogon contortus
Hibiscus trionum
Hieracium L.10
Hieracium atratum
Hieracium aurantiacum
Hieracium caespitosum
Hieracium pratense
Hieracium ×floribundum
Hieracium glomeratum
Hieracium laevigatum
Hieracium pilosella
Hieracium piloselloides
Hoffmannseggia glauca
Hoffmannseggia densiflora
Humulus japonicus
Hydrilla verticillata
Hydrocharis morsus-ranae
Hygrophila polysperma
Hyoscyamus niger
Hypericum perforatum
Hypochaeris radicata
Hyptis pectinata
Hyptis suaveolens
Impatiens glandulifera
Imperata brasiliensis
Imperata brevifolia
Imperata cylindrica
Ipomoea L.12
Ipomoea aquatica
Ipomoea carnea
Ipomoea fistulosa
Ipomoea triloba
Ipomoea turbinata
Calonyction muricatum
Iris douglasiana
Iris missouriensis
Iris pseudacorus
Isatis tinctoria
Ischaemum rugosum
Iva axillaris
Lactuca tatarica
Lactuca pulchella
Lagarosiphon Harv.
Lagarosiphon major
Lagascea mollis
Landoltia punctata
Spirodela oligorrhiza
Lepidium latifolium
Leptochloa chinensis
Lepyrodiclis holosteoides
Lespedeza cuneata
Leucanthemum vulgare
Chrysanthemum leucanthemum
Chrysanthemum leucanthemum
Ligustrum obtusifolium
Ligustrum ovalifolium
Ligustrum vulgare
Limnobium spongia
Limnocharis flava
Limnophila indica
Limnophila sessiliflora
Linaria dalmatica
Linaria dalmatica
Linaria genistifolia
Linaria genistifolia
Linaria vulgaris
Lolium temulentum
Lonicera ×bella
Lonicera japonica
Lonicera maackii
Lonicera morrowii
Lonicera tatarica
Lonicera xylosteum
Ludwigia grandiflora
Ludwigia uruguayensis
Ludwigia grandiflora
Ludwigia hexapetala
Lychnis flos-cuculi
Lycium ferocissimum
Lycium ferrocissimum
Lygodium flexuosum
Lygodium japonicum
Lygodium microphyllum
Lysimachia nummularia
Lysimachia vulgaris
Lythrum L.13,
Lythrum salicaria
Lythrum virgatum
Mahonia Nutt.2
Malachra alceifolia
Malvella leprosa
Marsilea quadrifolia
Medicago polymorpha
Medinilla venosa
Melaleuca quinquenervia
Melastoma L.
Melastoma malabathricum
Miconia Ruiz
Microstegium vimineum
Mikania cordata
Mikania micrantha
Mikania scandens
Milium vernale
Mimosa diplotricha
Mimosa invisa
Mimosa pellita
Mimosa pigra
Mirabilis nyctaginea
Miscanthus floridulus
Miscanthus sacchariflorus
Miscanthus sinensis
Monochoria hastata
Monochoria vaginalis
Montanoa hibiscifolia
Moraea Mill.
Homeria Vent.
Moraea collina
Homeria collina
Moraea flaccida
Homeria flaccida
Moraea miniata
Moraea ochroleuca
Homeria ochroleuca
Moraea pallida
Homeria pallida
Morella faya
Myrica faya
Muhlenbergia schreberi
Murdannia keisak
Myosotis scorpioides
Myriophyllum aquaticum
Myriophyllum heterophyllum
Myriophyllum spicatum
Najas minor
Nardus stricta
Nassella trichotoma
Stipa trichotoma
Nasturtium microphyllum
Rorippa microphylla
Nasturtium officinale
Rorippa nasturtium-aquaticum
Nechamandra alternifolia
Nelumbo lutea
Neyraudia reynaudiana
Nymphaea mexicana
Nymphaea odorata
Nymphoides peltata
Ononis alopecuroides
Onopordum L.
Onopordum acanthium
Onopordum acaulon
Onopordum illyricum
Onopordum tauricum
Opuntia aurantiaca
Ornithogalum umbellatum
Orobanche L.20,
Orobanche cooperi
Orobanche minor
Orobanche ramosa
Oryza longistaminata
Oryza punctata
Oryza rufipogon
Oryza sativa
Ottelia alismoides
Oxyspora paniculata
Packera glabella
Senecio glabellus
Paederia cruddasiana
Paederia foetida
Panicum antidotale
Panicum miliaceum
Panicum repens
Papaver somniferum
Paspalum scrobiculatum
Passiflora bicornis
Passiflora pulchella
Passiflora tarminiana
Passiflora mollissima
Passiflora tripartita
Passiflora mollissima
Pastinaca sativa
Paulownia tomentosa
Peganum harmala
Pennisetum ciliare
Pennisetum clandestinum
Pennisetum macrourum
Pennisetum pedicellatum
Pennisetum polystachion
Pennisetum polystachyon
Pennisetum setaceum
Phalaris arundinacea
Phellodendron amurense
Phragmites australis
Phragmites communis
Phyllanthus tenellus
Phyllanthus urinaria
Physalis longifolia
Physalis viscosa
Picris hieracioides
Piper aduncum
Pistia stratiotes
Pittosporum undulatum
Plantago aristata
Plantago lanceolata
Poa compressa
Polygonum amphibium
Polygonum ×bohemicum
Polygonum cespitosum
Polygonum caespitosum
Polygonum cuspidatum
Fallopia japonica
Polygonum perfoliatum
Polygonum polystachyum
Polygonum sachalinense
Pontederia rotundifolia
Populus alba
Portulaca oleracea
Potamogeton crispus
Potentilla recta
Proboscidea louisianica
Prosopis L.
Prosopis alpataco
Prosopis argentina
Prosopis burkartii
Prosopis caldenia
Prosopis calingastana
Prosopis campestris
Prosopis castellanosii
Prosopis denudans
Prosopis elata
Prosopis farcta
Prosopis ferox
Prosopis fiebrigii
Prosopis hassleri
Prosopis humilis
Prosopis juliflora
Prosopis kuntzei
Prosopis pallida
Prosopis palmeri
Prosopis reptans
Prosopis rojasiana
Prosopis ruizlealii
Prosopis ruscifolia
Prosopis sericantha
Prosopis strombulifera
Prosopis torquata
Prosopis velutina
Prosopis articulata
Pueraria montana
Pueraria montana
Pueraria lobata
Pueraria thunbergiana
Pueraria phaseoloides
Ranunculus acris
